[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:40.637000+00:00: **4. A white mug or a black pen- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:40.637000+00:00: **4. A white mug or a black pen- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:41.778000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:41.778000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:42.323000+00:00: **3. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:42.323000+00:00: **3. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:42.850000+00:00: **5. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:42.850000+00:00: **5. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:43.482000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:00:43.482000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 23:01:17.650000+00:00: **5. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (fast)
